"Date","Open","High","Low","Close","% Change","% Change vs Average","Volume"
"2024-01-02T03:00:00.000Z","84.43","85.52","84.31","84.74","1.07","0.94","19,650,900"
"2024-01-03T03:00:00.000Z","84.87","86.43","84.44","86.12","1.63","1.50","18,968,000"
"2024-01-04T03:00:00.000Z","86.74","87.11","84.56","84.61","-1.75","-1.88","21,024,500"
"2024-01-05T03:00:00.000Z","85.42","85.46","84.29","84.68","0.08","-0.05","17,010,500"
"2024-01-08T03:00:00.000Z","83.24","83.80","82.10","83.70","-1.16","-1.29","23,609,300"
"2024-01-09T03:00:00.000Z","83.81","83.90","82.18","82.36","-1.60","-1.73","16,875,200"
"2024-01-10T03:00:00.000Z","82.52","82.55","81.22","81.55","-0.98","-1.11","16,579,900"
"2024-01-11T03:00:00.000Z","81.99","82.20","81.43","81.76","0.26","0.13","19,294,300"
"2024-01-12T03:00:00.000Z","83.02","83.35","82.18","82.68","1.13","1.00","19,375,800"
"2024-01-16T03:00:00.000Z","82.50","82.61","80.66","80.71","-2.38","-2.51","18,015,600"
"2024-01-17T03:00:00.000Z","79.88","80.84","79.70","80.04","-0.83","-0.96","19,642,100"
"2024-01-18T03:00:00.000Z","80.06","80.13","78.98","79.91","-0.16","-0.29","17,852,800"
"2024-01-19T03:00:00.000Z","79.87","80.18","79.59","80.17","0.33","0.20","19,965,700"
"2024-01-22T03:00:00.000Z","80.00","80.65","79.48","80.47","0.37","0.25","15,068,400"
"2024-01-23T03:00:00.000Z","80.34","81.29","80.22","80.64","0.21","0.08","12,354,600"
"2024-01-24T03:00:00.000Z","81.06","81.83","80.68","81.79","1.43","1.30","16,920,500"
"2024-01-25T03:00:00.000Z","82.37","83.66","81.88","83.63","2.25","2.12","18,804,700"
"2024-01-26T03:00:00.000Z","83.54","84.28","82.93","84.25","0.74","0.61","18,234,800"
"2024-01-29T03:00:00.000Z","84.12","84.25","83.25","84.13","-0.14","-0.27","14,840,300"
"2024-01-30T03:00:00.000Z","83.30","85.02","82.98","85.00","1.03","0.91","17,670,600"
"2024-01-31T03:00:00.000Z","85.00","85.16","83.37","83.41","-1.87","-2.00","19,290,400"
"2024-02-01T03:00:00.000Z","83.91","84.30","82.63","83.40","-0.01","-0.14","25,550,700"
"2024-02-02T03:00:00.000Z","84.10","84.18","82.82","83.52","0.14","0.02","19,034,400"
"2024-02-05T03:00:00.000Z","83.01","83.81","82.41","83.31","-0.25","-0.38","15,796,800"
"2024-02-06T03:00:00.000Z","83.72","84.40","83.23","83.58","0.32","0.20","14,028,100"
"2024-02-07T03:00:00.000Z","83.82","84.18","83.07","83.75","0.20","0.07","13,460,200"
"2024-02-08T03:00:00.000Z","83.70","84.92","83.68","84.61","1.03","0.90","18,100,500"
"2024-02-09T03:00:00.000Z","84.77","85.13","83.22","83.31","-1.54","-1.67","19,036,700"
"2024-02-12T03:00:00.000Z","83.60","84.47","83.60","84.23","1.10","0.98","12,946,900"
